,city,lon,lat,country,max temp,pressure,humidity,wind speed,cloudiness,date_in
239,Nabire,135.4833,-3.3667,ID,74.86,1011,89,3.58,100,1634662115
240,Lovington,-103.3485,32.944,US,75.33,1015,29,8.01,0,1634662116
241,Oktyabr'skoye,44.7417,43.0645,RU,42.94,1022,93,8.95,90,1634662116
242,Hofn,-15.2082,64.2539,IS,40.05,1004,69,20.51,100,1634662117
243,Magnolia,-93.2393,33.2671,US,71.28,1021,42,6.33,100,1634661914
244,Deep River,-77.4995,46.1001,CA,64.44,1011,46,11.18,12,1634662114
245,San Luis,-66.3356,-33.295,AR,79.32,1015,16,6.04,0,1634661943
246,Grand Gaube,57.6608,-20.0064,MU,74.37,1021,76,3.0,32,1634662118
247,Kjøllefjord,27.3465,70.9457,NO,31.78,1013,86,5.75,40,1634662118
248,Iguape,-47.5553,-24.7081,BR,65.5,1019,78,13.33,100,1634662119
249,Flinders,150.8552,-34.5833,AU,58.17,1010,79,3.0,74,1634662119
250,Porto Velho,-63.9039,-8.7619,BR,86.05,1013,70,2.3,75,1634662119
251,Bintulu,113.0333,3.1667,MY,73.81,1015,100,3.0,40,1634662120
252,Smithers,-127.1743,54.7804,CA,34.12,1013,75,4.61,75,1634662120
253,Esna,32.554,25.2934,EG,89.62,1015,18,18.3,1,1634662121
254,Bucerías,-105.3333,20.75,MX,85.98,1013,78,1.45,31,1634661882
255,Buala,159.5921,-8.145,SB,78.96,1011,82,2.3,23,1634662122
256,Mandalgovi,106.2708,45.7625,MN,32.16,1027,42,7.56,0,1634662122
257,Half Moon Bay,-122.4286,37.4636,US,59.45,1018,84,3.44,20,1634662104
258,Pevek,170.3133,69.7008,RU,14.16,1002,92,15.95,100,1634662123
259,Yeppoon,150.7333,-23.1333,AU,69.58,1012,86,2.1,9,1634662123
260,Whitehorse,-135.0538,60.7161,CA,32.77,1005,55,15.01,75,1634662124
261,Usinsk,57.5281,65.9939,RU,31.12,997,87,6.31,100,1634662124
262,Kaitangata,169.8464,-46.2817,NZ,42.93,1028,72,8.23,21,1634662125
263,Ternate,127.4,0.8,ID,81.19,1011,78,0.83,34,1634662125
